#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,08:36.0,ENTER,37.365,100,,3736.5,PXT,,992,993,A,,,,297,297
BHP,20130205,08:47.0,ENTER,37.35,100,,3735.0,,,1016,1017,A,,,,361,203
BHP,20130205,08:47.0,ENTER,37.35,100,,3735.0,,,1020,1021,B,,,,140,203
BHP,20130205,08:53.5,ENTER,37.34,100,,3734.0000000000005,,,1046,1047,A,,,,122,203
BHP,20130205,08:53.5,ENTER,37.34,100,,3734.0000000000005,XT,,1050,1051,B,,,,203,203
BHP,20130205,09:06.1,ENTER,37.33,100,,3733.0,XT,,1054,1055,A,,,,203,203
BHP,20130205,09:06.1,ENTER,37.33,100,,3733.0,,,1058,1059,B,,,,150,203
BHP,20130205,09:08.0,ENTER,37.35,100,,3735.0,,,1068,1069,A,,,,297,150
BHP,20130205,09:08.0,ENTER,37.35,100,,3735.0,,,1070,1071,B,,,,297,203
BHP,20130205,09:08.0,ENTER,37.35,100,,3735.0,,,1072,1073,B,,,,297,203
BHP,20130205,09:08.0,ENTER,37.35,100,,3735.0,,,1074,1075,A,,,,297,217
BHP,20130205,09:08.4,ENTER,37.335,100,,3733.5,,,1084,1085,A,,,,229,150
BHP,20130205,09:08.5,ENTER,37.35,100,,3735.0,,,1088,1089,B,,,,203,217
BHP,20130205,09:08.5,ENTER,37.35,100,,3735.0,XT,,1092,1093,A,,,,203,203
BHP,20130205,09:09.9,ENTER,37.35,100,,3735.0,,,1096,1097,A,,,,297,210
BHP,20130205,09:09.9,ENTER,37.35,100,,3735.0,,,1098,1099,B,,,,297,150
BHP,20130205,09:09.9,ENTER,37.35,100,,3735.0,,,1100,1101,B,,,,297,150
BHP,20130205,09:09.9,ENTER,37.35,100,,3735.0,,,1102,1103,A,,,,297,150
BHP,20130205,09:09.9,ENTER,37.33,100,,3733.0,,,1110,1111,A,,,,229,157
BHP,20130205,09:15.2,ENTER,37.33,100,,3733.0,,,1114,1115,B,,,,229,203
BHP,20130205,09:18.9,ENTER,37.34,100,,3734.0000000000005,,,1122,1123,B,,,,361,217
BHP,20130205,09:20.4,ENTER,37.34,100,,3734.0000000000005,XT,,1126,1127,A,,,,203,203
BHP,20130205,09:20.4,ENTER,37.35,100,,3735.0,,,1136,1137,B,,,,229,297
BHP,20130205,09:21.3,ENTER,37.34,100,,3734.0000000000005,,,1144,1145,A,,,,203,110
BHP,20130205,09:26.0,ENTER,37.36,100,,3736.0,,,1148,1149,B,,,,941,297
BHP,20130205,09:26.0,ENTER,37.36,100,,3736.0,,,1150,1151,B,,,,941,297
BHP,20130205,09:26.0,ENTER,37.36,100,,3736.0,,,1152,1153,A,,,,941,297
BHP,20130205,09:26.0,ENTER,37.36,100,,3736.0,,,1154,1155,A,,,,941,210
BHP,20130205,09:26.6,ENTER,37.37,100,,3736.9999999999995,,,1164,1165,B,,,,923,210
BHP,20130205,09:27.5,ENTER,37.37,100,,3736.9999999999995,,,1168,1169,A,,,,210,217
BHP,20130205,09:38.0,ENTER,37.35,100,,3735.0,,,1172,1173,A,,,,299,297
BHP,20130205,09:40.1,ENTER,37.35,100,,3735.0,,,1174,1175,A,,,,299,297
BHP,20130205,09:40.1,ENTER,37.35,100,,3735.0,,,1176,1177,B,,,,299,203
BHP,20130205,09:40.1,ENTER,37.35,100,,3735.0,,,1178,1179,B,,,,299,203
BHP,20130205,09:41.3,ENTER,37.35,100,,3735.0,,,1186,1187,A,,,,210,244
BHP,20130205,09:42.3,ENTER,37.35,100,,3735.0,,,1188,1189,B,,,,210,244
BHP,20130205,09:42.3,ENTER,37.35,100,,3735.0,,,1190,1191,B,,,,366,244
BHP,20130205,09:42.3,ENTER,37.35,100,,3735.0,,,1192,1193,A,,,,366,210
BHP,20130205,09:44.0,ENTER,37.36,100,,3736.0,,,1212,1213,B,,,,299,217
BHP,20130205,10:07.9,ENTER,37.36,100,,3736.0,,,1216,1217,A,,,,297,217
BHP,20130205,10:08.1,ENTER,37.36,100,,3736.0,,,1218,1219,B,,,,297,270
BHP,20130205,10:08.1,ENTER,37.36,100,,3736.0,,,1220,1221,B,,,,297,203
BHP,20130205,10:08.2,ENTER,37.36,100,,3736.0,,,1222,1223,A,,,,297,270
BHP,20130205,10:09.3,ENTER,37.35,100,,3735.0,,,1234,1235,B,,,,203,338
BHP,20130205,10:10.6,ENTER,37.35,100,,3735.0,,,1236,1237,A,,,,203,338
BHP,20130205,10:12.9,ENTER,37.35,100,,3735.0,,,1238,1239,A,,,,203,338
